# fibo_rank time
1 1.0233333333333334
2 1.0333333333333332
3 1.0533333333333335
4 1.1
5 1.04
6 1.0999999999999999
7 1.0666666666666667
8 1.0200000000000002
9 1.0666666666666667
10 1.12
11 1.0433333333333334
12 1.0466666666666666
13 1.0466666666666666
14 1.01
15 1.0566666666666666
16 1.0200000000000002
17 1.12
18 1.0566666666666669
19 1.05
20 1.1
21 1.03
22 1.0966666666666667
23 1.12
24 1.0833333333333333
25 1.0866666666666667
26 1.0933333333333333
27 1.0966666666666667
28 1.1533333333333333
29 1.2133333333333332
30 1.1066666666666667
31 1.2
32 1.2766666666666666
33 1.3566666666666667
34 1.46
35 1.7633333333333334
36 2.2133333333333334
37 2.8633333333333333
38 3.8666666666666667
39 5.593333333333334
40 8.306666666666667
41 12.753333333333332
42 19.823333333333334
43 31.376666666666665
44 50.06
45 80.39
46 129.48999999999998
