# fibo_rank time
1 0.07333333333333335
2 0.05666666666666667
3 0.06
4 0.06333333333333334
5 0.06333333333333334
6 0.06333333333333334
7 0.07
8 0.08
9 0.07
10 0.07
11 0.06666666666666667
12 0.06333333333333334
13 0.06666666666666667
14 0.07
15 0.06666666666666667
16 0.07666666666666667
17 0.08
18 0.06333333333333334
19 0.08
20 0.08
21 0.09666666666666668
22 0.11333333333333333
23 0.12666666666666668
24 0.17
25 0.23
26 0.3233333333333333
27 0.47333333333333333
28 0.7133333333333333
29 1.11
30 1.75
31 2.81
32 4.493333333333333
33 7.323333333333333
34 11.673333333333334
35 18.806666666666665
36 30.56
37 48.96
38 79.82000000000001
39 128.01333333333332
