# fibo_rank time
1 0.2966666666666667
2 0.31
3 0.3133333333333333
4 0.31
5 0.2966666666666667
6 0.31
7 0.31
8 0.3033333333333333
9 0.31
10 0.31
11 0.31
12 0.31
13 0.3033333333333333
14 0.3133333333333333
15 0.31
16 0.31
17 0.3133333333333333
18 0.31
19 0.31
20 0.31
21 0.3133333333333333
22 0.32
23 0.33
24 0.33666666666666667
25 0.36000000000000004
26 0.39333333333333337
27 0.4466666666666667
28 0.5066666666666667
29 0.65
30 0.8566666666666666
31 1.18
32 1.8399999999999999
33 2.6566666666666667
34 4.1066666666666665
35 6.676666666666667
36 10.106666666666667
37 16.87
38 26.373333333333335
39 42.16
40 70.39
41 114.18
